celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week1_total_score,week1_avg_score,week2_total_score,week2_avg_score,week3_total_score,week3_avg_score,week4_total_score,week4_avg_score,week5_total_score,week5_avg_score,week6_total_score,week6_avg_score,week7_total_score,week7_avg_score,week8_total_score,week8_avg_score,week9_total_score,week9_avg_score,week10_total_score,week10_avg_score,week11_total_score,week11_avg_score,overall_avg_score,total_points,weeks_participated,age_group,standardized_industry,standardized_country,elimination_status,performance_trend,normalized_score,season_normalized_score,performance_level
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8.0,6.0,8.0,0.0,9.0,10.0,10.0,0.0,9.0,9.0,9.0,0.0,8.0,9.0,9.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,9.0,9.0,9.5,0.0,9.3333,9.6666,9.6666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,7.333333333333333,29.0,9.666666666666666,27.0,9.0,26.0,8.666666666666666,30.0,10.0,30.0,10.0,27.5,9.166666666666666,28.6665,9.5555,0.0,0.0,0.0,0.0,0.0,0.0,9.173604166666665,220.16649999999998,8,25-34,Athlete,USA,3rd Place,4.162985740337444,96.39517386871239,64.0861829145267,Outstanding
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7.0,7.0,7.0,0.0,7.0,8.0,8.0,0.0,7.0,6.0,6.0,0.0,8.0,8.0,8.0,0.0,7.0,8.0,8.0,0.0,8.0,7.0,8.0,0.0,7.0,7.0,6.5,0.0,9.0,9.0,8.6666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,23.0,7.666666666666667,19.0,6.333333333333333,24.0,8.0,23.0,7.666666666666667,23.0,7.666666666666667,20.5,6.833333333333333,26.666600000000003,8.888866666666667,0.0,0.0,0.0,0.0,0.0,0.0,7.506941666666666,180.16660000000002,8,35-44,Athlete,USA,Runner-up,18.408628458326916,78.88207666622651,52.44299056708612,Good
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,7.0,8.0,8.0,0.0,8.0,8.0,8.0,0.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.666666666666667,24.0,8.0,22.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.666666666666667,69.0,3,35-44,News,Mexico,Eliminated Week 3,0.0,80.56044853255642,53.558818695273416,Excellent
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4.0,4.0,4.0,0.0,6.0,5.0,5.0,0.0,6.0,4.0,4.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,16.0,5.333333333333333,14.0,4.666666666666667,8.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,50.0,4,35-44,Musician,USA,Eliminated Week 4,0.0,43.78285246334588,29.108053638735555,Average
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8.0,8.0,8.0,0.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,9.0,9.0,10.0,0.0,9.0,9.0,9.0,0.0,10.0,10.0,10.0,0.0,9.5,9.0,9.0,0.0,9.6666,9.6666,9.6666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.0,27.0,9.0,27.0,9.0,28.0,9.333333333333334,27.0,9.0,30.0,10.0,27.5,9.166666666666666,28.9998,9.6666,0.0,0.0,0.0,0.0,0.0,0.0,9.145825,219.4998,8,25-34,Musician,USA,Winner,5.694128195105422,96.10327359133927,63.892119520917255,Outstanding
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,13.0,1,45-54,Athlete,USA,Eliminated Week 1,0.0,45.53416656187971,30.27237578428497,Average
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,5.0,6.0,6.0,0.0,7.0,7.0,7.0,0.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.666666666666667,21.0,7.0,22.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,60.0,3,45-54,Actor,USA,Eliminated Week 3,0.0,70.05256394135341,44.799531811406055,Good
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,6.0,8.0,8.0,0.0,8.0,8.0,8.0,0.0,9.0,9.0,9.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,7.333333333333333,24.0,8.0,27.0,9.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.083333333333332,97.0,4,35-44,Actor,USA,Eliminated Week 4,0.0,84.93873377889099,54.31943232132983,Excellent
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,6.0,6.0,7.0,0.0,9.0,8.0,9.0,0.0,9.0,9.0,9.0,0.0,8.0,8.0,8.0,0.0,9.0,9.0,9.0,0.0,9.0,7.0,7.0,0.0,9.0,9.0,9.0,0.0,8.5,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,6.333333333333333,26.0,8.666666666666666,27.0,9.0,24.0,8.0,27.0,9.0,23.0,7.666666666666667,27.0,9.0,26.5,8.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,8.3125,199.5,8,25-34,Actor,USA,Eliminated Week 8,6.265664160401009,87.34679066437504,55.85941622734693,Excellent
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,7.0,7.0,7.0,0.0,10.0,9.0,10.0,0.0,8.0,6.0,8.0,0.0,9.0,9.0,9.0,0.0,8.0,8.0,9.0,0.0,8.0,8.0,8.0,0.0,9.5,9.0,10.0,0.0,9.5,8.5,9.0,0.0,9.5,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,29.0,9.666666666666666,22.0,7.333333333333333,27.0,9.0,25.0,8.333333333333334,24.0,8.0,28.5,9.5,27.0,9.0,29.5,9.833333333333334,0.0,0.0,0.0,0.0,8.62962962962963,233.0,9,25-34,Actor,USA,3rd Place,9.120171673819755,90.67915221297413,57.99050506698673,Excellent
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,9.0,8.0,9.0,0.0,7.0,6.0,8.0,0.0,8.0,6.0,8.0,0.0,10.0,9.0,10.0,0.0,9.0,9.0,9.0,0.0,9.0,9.0,10.0,0.0,9.5,9.0,9.5,0.0,9.5,9.0,10.0,0.0,10.0,9.5,10.0,0.0,10.0,10.0,9.6666,0.0,0.0,0.0,0.0,0.0,26.0,8.666666666666666,21.0,7.0,22.0,7.333333333333333,29.0,9.666666666666666,27.0,9.0,28.0,9.333333333333334,28.0,9.333333333333334,28.5,9.5,29.5,9.833333333333334,29.666600000000003,9.888866666666667,0.0,0.0,8.955553333333334,268.6666,10,25-34,Actor,USA,Runner-up,8.76752078598529,94.1039208770301,60.18068946681153,Excellent
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8.0,8.0,8.0,0.0,8.0,8.0,8.0,0.0,7.0,6.0,6.0,0.0,8.0,8.0,8.0,0.0,9.0,9.0,9.0,0.0,8.0,8.0,9.0,0.0,10.0,9.5,9.0,0.0,8.5,9.0,9.5,0.0,9.5,10.0,10.0,0.0,10.0,9.6666,10.0,0.0,0.0,0.0,0.0,0.0,24.0,8.0,24.0,8.0,19.0,6.333333333333333,24.0,8.0,27.0,9.0,25.0,8.333333333333334,28.5,9.5,27.0,9.0,29.5,9.833333333333334,29.666600000000003,9.888866666666667,0.0,0.0,8.588886666666665,257.6666,10,35-44,Athlete,USA,Winner,11.47040400269187,90.25102986025564,57.71671521718419,Excellent
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,7.0,5.0,6.0,0.0,8.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,22.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666666,40.0,2,25-34,Model,USA,Eliminated Week 2,0.0,70.0525639413534,44.79953181140605,Good
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,7.0,7.0,8.0,0.0,7.0,8.0,8.0,0.0,7.0,7.0,8.0,0.0,9.0,9.0,10.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,7.333333333333333,23.0,7.666666666666667,22.0,7.333333333333333,28.0,9.333333333333334,27.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.133333333333333,122.0,5,25-34,Musician,USA,Eliminated Week 5,0.0,85.46412800845114,54.655428809915385,Excellent
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,5.0,5.0,5.0,0.0,7.0,7.0,7.0,0.0,8.0,9.0,8.0,0.0,6.0,7.0,7.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,21.0,7.0,25.0,8.333333333333334,20.0,6.666666666666667,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,105.0,5,35-44,Musician,USA,Withdrew,0.0,73.55519213842108,47.039508401976356,Good
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,5.0,5.0,6.0,0.0,7.0,6.0,6.0,0.0,7.0,7.0,7.0,0.0,7.0,7.0,8.0,0.0,8.0,8.0,8.0,0.0,7.0,6.0,5.0,0.0,7.5,8.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.333333333333333,19.0,6.333333333333333,21.0,7.0,22.0,7.333333333333333,24.0,8.0,18.0,6.0,23.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.809523809523809,143.0,7,55+,Tv_Personality,UK,Eliminated Week 7,0.0,71.55369031152526,45.75952177879333,Good
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,1,35-44,Tv_Personality,USA,Eliminated Week 1,0.0,42.03153836481204,26.879719086843636,Average
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,6.0,5.0,6.0,0.0,7.0,7.0,7.0,0.0,7.0,6.0,7.0,0.0,6.0,5.0,5.0,0.0,6.0,6.0,6.0,0.0,7.0,6.0,6.0,0.0,7.5,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.666666666666667,21.0,7.0,20.0,6.666666666666667,16.0,5.333333333333333,18.0,6.0,19.0,6.333333333333333,22.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.357142857142857,133.5,7,55+,Actor,USA,Eliminated Week 7,0.0,66.80012347264771,43.88837844419176,Good
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,7.0,7.0,7.0,0.0,7.0,8.0,7.0,0.0,8.0,8.0,8.0,0.0,7.0,9.0,8.0,0.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,0.0,9.0,9.0,9.0,0.0,8.0,7.5,8.0,0.0,9.5,10.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,22.0,7.333333333333333,24.0,8.0,24.0,8.0,24.0,8.0,24.0,8.0,27.0,9.0,23.5,7.833333333333333,29.0,9.666666666666666,0.0,0.0,0.0,0.0,8.092592592592592,218.5,9,35-44,Actor,USA,Eliminated Week 9,8.123569794050356,85.03602900658733,55.86955874356329,Excellent
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,6.0,5.0,5.0,0.0,6.0,6.0,6.0,0.0,6.0,5.0,5.0,0.0,6.0,4.0,5.0,0.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.333333333333333,18.0,6.0,16.0,5.333333333333333,15.0,5.0,13.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.199999999999999,78.0,5,35-44,Athlete,USA,Eliminated Week 5,0.0,54.64099987425565,35.89970731165348,Average
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,7.0,8.0,8.0,0.0,9.0,9.0,9.0,0.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,0.0,9.0,10.0,9.0,0.0,9.0,9.0,10.0,0.0,10.0,9.5,10.0,0.0,9.0,8.5,9.0,0.0,10.0,10.0,10.0,0.0,9.6666,9.0,9.6666,0.0,0.0,0.0,0.0,0.0,23.0,7.666666666666667,27.0,9.0,21.0,7.0,21.0,7.0,28.0,9.333333333333334,28.0,9.333333333333334,29.5,9.833333333333334,26.5,8.833333333333334,30.0,10.0,28.333200000000005,9.444400000000002,0.0,0.0,8.74444,262.33320000000003,10,25-34,Athlete,USA,3rd Place,7.793193287518829,91.88556633469926,60.36977627006061,Excellent
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,7.0,7.0,7.0,0.0,8.0,9.0,9.0,0.0,7.0,8.0,8.0,0.0,9.0,8.0,9.0,0.0,10.0,10.0,10.0,0.0,9.0,9.0,10.0,0.0,9.0,8.5,9.5,0.0,10.0,9.0,10.0,0.0,10.0,9.5,10.0,0.0,9.6666,9.6666,10.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,26.0,8.666666666666666,23.0,7.666666666666667,26.0,8.666666666666666,30.0,10.0,28.0,9.333333333333334,27.0,9.0,29.0,9.666666666666666,29.5,9.833333333333334,29.3332,9.777733333333334,0.0,0.0,8.961106666666666,268.8332,10,<25,Athlete,USA,Winner,8.906687616460081,94.16227466279324,61.86559740804617,Excellent
