,,fan_vote_cv,fan_vote_cv,fan_vote_cv,fan_vote_cv,fan_vote_std,fan_vote_ci_width
22,7,0.0,0.0,0.0,0.0,0.0,0.0
22,8,0.053734,0.01109,0.040409,0.067632,0.00862,0.030359
22,9,0.0,0.0,0.0,0.0,0.0,0.0
22,10,0.025081,0.000641,0.024369,0.025615,0.00836,0.027038
23,1,0.015727,0.001295,0.01309,0.018327,0.001209,0.004169
23,2,0.041639,0.006267,0.033263,0.054017,0.003215,0.011052
23,3,0.035684,0.007097,0.024283,0.047127,0.002997,0.010232
23,4,0.0,0.0,0.0,0.0,0.0,0.0
23,5,0.018278,0.001705,0.01604,0.020154,0.002031,0.006925
23,6,0.038325,0.00662,0.030577,0.050602,0.004161,0.014205
23,7,0.043577,0.004669,0.036335,0.051253,0.005393,0.018984
23,8,0.043696,0.011608,0.028795,0.059537,0.006146,0.022093
23,9,0.041998,0.004323,0.035696,0.045949,0.006931,0.022211
23,10,0.038358,0.01168,0.022794,0.052394,0.007856,0.026574
23,11,0.022706,0.003456,0.017844,0.0256,0.005676,0.019713
24,1,0.016537,0.002641,0.011791,0.020996,0.001377,0.00479
24,2,0.03679,0.006702,0.023396,0.044878,0.003149,0.011339
24,3,0.036474,0.006361,0.029062,0.049392,0.003342,0.01132
24,4,0.037343,0.005951,0.029105,0.048363,0.003731,0.013296
24,5,0.042811,0.008301,0.028878,0.052806,0.004848,0.01684
24,6,0.051489,0.010125,0.035373,0.070929,0.006151,0.022386
24,7,0.0,0.0,0.0,0.0,0.0,0.0
24,8,0.037125,0.004932,0.029313,0.042967,0.007701,0.025606
24,9,0.041746,0.006879,0.036291,0.051822,0.010564,0.039061
24,10,0.022689,0.00411,0.019404,0.027298,0.007583,0.024204
25,1,0.01573,0.001596,0.013685,0.019156,0.001211,0.004095
25,2,0.0,0.0,0.0,0.0,0.0,0.0
25,3,0.016439,0.002715,0.011841,0.019952,0.001495,0.005089
25,4,0.043162,0.004953,0.034967,0.050049,0.003988,0.01356
25,5,0.043259,0.006345,0.031216,0.055238,0.004357,0.015217
25,6,0.034035,0.007066,0.024356,0.04263,0.003815,0.013655
25,7,0.0,0.0,0.0,0.0,0.0,0.0
25,8,0.040465,0.006057,0.035096,0.05016,0.00649,0.022548
25,9,0.043424,0.011736,0.033151,0.062445,0.007983,0.024917
25,10,0.023777,0.001957,0.021875,0.026381,0.005941,0.0207
26,1,0.0,0.0,0.0,0.0,0.0,0.0
26,2,0.0,0.0,0.0,0.0,0.0,0.0
26,3,0.0,0.0,0.0,0.0,0.0,0.0
26,4,0.024598,0.002901,0.021299,0.026749,0.008194,0.028576
27,1,0.044022,0.007578,0.029769,0.060061,0.003381,0.011707
27,2,0.036654,0.005852,0.028272,0.046541,0.003049,0.010205
27,3,0.045161,0.008375,0.031794,0.064348,0.004079,0.014074
27,4,0.076622,0.009815,0.056589,0.091559,0.007559,0.026251
27,5,0.01749,0.003194,0.013102,0.021743,0.001943,0.006766
27,6,0.046271,0.007886,0.038178,0.063138,0.005181,0.017906
27,7,0.0,0.0,0.0,0.0,0.0,0.0
27,8,0.0,0.0,0.0,0.0,0.0,0.0
27,9,0.024731,0.004142,0.021092,0.029712,0.00617,0.021295
28,1,0.0,0.0,0.0,0.0,0.0,0.0
28,2,0.221743,0.078144,0.119075,0.347055,0.018875,0.064292
28,3,0.0,0.0,0.0,0.0,0.0,0.0
28,4,0.049755,0.012759,0.02554,0.067267,0.005056,0.016986
28,5,0.0,0.0,0.0,0.0,0.0,0.0
28,6,0.425197,0.139382,0.220153,0.657034,0.048793,0.131482
28,7,0.062617,0.02103,0.027891,0.088386,0.007819,0.02525
28,8,0.0,0.0,0.0,0.0,0.0,0.0
28,9,0.0,0.0,0.0,0.0,0.0,0.0
28,10,0.0,0.0,0.0,0.0,0.0,0.0
28,11,0.0,0.0,0.0,0.0,0.0,0.0
29,1,0.0,0.0,0.0,0.0,0.0,0.0
29,2,0.065983,0.016653,0.026628,0.09598,0.004477,0.014909
29,3,0.064073,0.016425,0.030669,0.095389,0.0047,0.016299
29,4,0.097793,0.031591,0.029863,0.141728,0.007029,0.024532
29,5,0.06191,0.017687,0.021703,0.090027,0.005381,0.01818
29,6,0.062946,0.019623,0.02976,0.090065,0.005647,0.019564
29,7,0.167716,0.054334,0.09129,0.261709,0.01749,0.058336
29,8,0.095546,0.041841,0.028546,0.152571,0.011065,0.037161
29,9,0.0,0.0,0.0,0.0,0.0,0.0
29,10,0.0,0.0,0.0,0.0,0.0,0.0
29,11,0.0,0.0,0.0,0.0,0.0,0.0
30,1,0.0,0.0,0.0,0.0,0.0,0.0
30,2,0.066939,0.016293,0.029739,0.097957,0.004644,0.016291
30,3,0.292683,0.124467,0.069683,0.512907,0.016023,0.055074
30,4,0.185504,0.057841,0.091191,0.289569,0.014837,0.049919
30,5,0.483852,0.262702,0.126001,0.989231,0.032946,0.112392
30,6,0.049066,0.01114,0.032709,0.067635,0.004913,0.016603
30,7,0.049802,0.013904,0.025793,0.073563,0.005648,0.018529
30,8,0.134514,0.058567,0.058428,0.204763,0.017423,0.061324
30,9,0.0,0.0,0.0,0.0,0.0,0.0
30,10,0.0,0.0,0.0,0.0,0.0,0.0
31,1,0.083672,0.021226,0.030265,0.110398,0.005228,0.018235
31,2,0.074288,0.020324,0.032663,0.111027,0.004924,0.01721
31,3,0.071924,0.020019,0.032073,0.110618,0.00519,0.018114
31,4,0.057655,0.01554,0.031285,0.081292,0.004409,0.015264
31,5,0.223662,0.16971,0.012205,0.685674,0.019378,0.046679
31,6,0.059585,0.016836,0.033661,0.092398,0.005918,0.020585
31,7,0.055751,0.015525,0.027665,0.085353,0.006277,0.021714
31,8,0.118735,0.046138,0.057166,0.192951,0.015973,0.054873
31,9,0.0,0.0,0.0,0.0,0.0,0.0
31,10,0.0,0.0,0.0,0.0,0.0,0.0
32,1,0.090131,0.028602,0.025973,0.126238,0.006368,0.021974
32,2,0.131972,0.047406,0.037587,0.224379,0.009335,0.031985
32,3,0.05503,0.01567,0.018089,0.078032,0.004701,0.015938
32,4,0.136091,0.049717,0.046101,0.195658,0.01119,0.037764
32,5,0.069338,0.021704,0.029389,0.098741,0.006837,0.023864
32,6,0.087267,0.035759,0.033654,0.142654,0.009275,0.031247
32,7,0.262301,0.116737,0.055961,0.385412,0.028636,0.09871
32,8,0.0,0.0,0.0,0.0,0.0,0.0
32,9,0.0,0.0,0.0,0.0,0.0,0.0
32,10,0.0,0.0,0.0,0.0,0.0,0.0
32,11,0.0,0.0,0.0,0.0,0.0,0.0
33,1,0.0,0.0,0.0,0.0,0.0,0.0
33,2,0.334661,0.127315,0.102649,0.515358,0.026379,0.088061
33,3,0.161717,0.05549,0.084499,0.287171,0.015967,0.054412
33,4,0.096366,0.043928,0.02711,0.163986,0.010086,0.033501
33,5,0.042015,0.011815,0.023751,0.064927,0.005343,0.018414
33,6,0.0,0.0,0.0,0.0,0.0,0.0
33,7,0.0,0.0,0.0,0.0,0.0,0.0
33,8,0.0,0.0,0.0,0.0,0.0,0.0
33,9,0.0,0.0,0.0,0.0,0.0,0.0
34,1,0.0,0.0,0.0,0.0,0.0,0.0
34,2,0.320487,0.109994,0.137282,0.498196,0.022827,0.077668
34,3,0.055982,0.010984,0.032932,0.078663,0.004758,0.01616
34,4,0.697127,0.543691,0.237047,2.226165,0.038395,0.129483
34,5,0.0,0.0,0.0,0.0,0.0,0.0
34,6,0.057189,0.0161,0.028476,0.087168,0.005806,0.019985
34,7,0.064568,0.025168,0.025616,0.087603,0.006866,0.022882
34,8,0.047017,0.016824,0.018045,0.075899,0.006013,0.021073
34,9,0.0,0.0,0.0,0.0,0.0,0.0
34,10,0.0,0.0,0.0,0.0,0.0,0.0
34,11,0.0,0.0,0.0,0.0,0.0,0.0
